410412347	20140218	201402	2014	2014.1315	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	GOV	PRESIDENT	Unnamed: 17	Unnamed: 18	Unnamed: 19	Unnamed: 20	Unnamed: 21	GOV.1	Unnamed: 23	Unnamed: 24	0	043	043.1	04	1	2.8	5	1.1	5.1	-4.4776119402985	0.1	Unnamed: 36	Unnamed: 37	Unnamed: 38	Unnamed: 39	Unnamed: 40	Unnamed: 41	Unnamed: 42	4	Waterkloof, Free State, South Africa	SF	SF03	77359	-30.3098	25.2971	-1299321	4.1	Waterkloof, Free State, South Africa.1	SF.1	SF03.1	77359.1	-30.3098.1	25.2971.1	-1299321.1	20150218230000	http://www.dailymaverick.co.za/article/2015-02-19-sona2015-jamming-state-security-agency-steps-forward-blames-low-ranking-operator/
410412386	20140218	201402	2014	2014.1315	UKR	UKRAINE	UKR								RUS	RUSSIA	RUS								0	112	112	11	3	-2.0	4	1	4	-4.6448087431694	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20150218230000	http://www.dw.de/debaltseve-under-rebel-control-ukraine-troops-retreat/a-18267982
410412387	20140218	201402	2014	2014.1315	UKR	UKRAINE	UKR								RUS	RUSSIA	RUS								0	112	112	11	3	-2.0	6	1	6	-4.6448087431694	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20150218230000	http://www.dw.de/debaltseve-under-rebel-control-ukraine-troops-retreat/a-18267982
410412388	20140218	201402	2014	2014.1315	USA	LOS ANGELES	USA																		1	43	43	4	1	2.8	10	1	10	0.0	2	Idaho, United States	US	USID		44.2394	-114.51	ID	0								2	Idaho, United States	US	USID		44.2394	-114.51	ID	20150218230000	http://www.eastidahonews.com/2015/02/neil-patrick-harris-on-why-hes-haunted-by-ellen-degeneres-oscars-selfie/
410412389	20140218	201402	2014	2014.1315	USA	NEW YORK	USA								BUS	COMPANY						BUS			1	71	71	7	2	7.4	14	1	14	2.0746887966805	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20150218230000	http://www.betaboston.com/tag/museums/
410412390	20140218	201402	2014	2014.1315	USA	UNITED STATES	USA								EDU	STUDENT						EDU			1	70	70	7	2	7.0	8	1	8	0.0	3	Manhattan, New York, United States	US	USNY	NY061	40.7834	-73.9662	971945	3	Manhattan, New York, United States	US	USNY	NY061	40.7834	-73.9662	971945	3	Manhattan, New York, United States	US	USNY	NY061	40.7834	-73.9662	971945	20150218230000	http://www.portlandmercury.com/portland/what-fuckery-is-this/Content?oid=15009413
410412391	20140218	201402	2014	2014.1315	USA	UNITED STATES	USA								IRQ	IRAQ	IRQ								0	42	42	4	1	1.9	4	3	4	-1.11003760995979	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	1	Iraq	IZ	IZ		33.0	44.0	IZ	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	20150218230000	http://hosted2.ap.org/APDEFAULT/89ae8247abe8493fae24405546e9a1aa/Article_2015-02-18-US--GOP%202016-Bush%20Foreign%20Policy/id-73efbb63762c409f88ee7116da2a3e66
410412392	20140218	201402	2014	2014.1315	USA	UNITED STATES	USA								IRQ	IRAQ	IRQ								0	42	42	4	1	1.9	4	3	4	-1.11003760995979	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	1	Iraq	IZ	IZ		33.0	44.0	IZ	1	Iraq	IZ	IZ		33.0	44.0	IZ	20150218230000	http://hosted2.ap.org/APDEFAULT/89ae8247abe8493fae24405546e9a1aa/Article_2015-02-18-US--GOP%202016-Bush%20Foreign%20Policy/id-73efbb63762c409f88ee7116da2a3e66
410412393	20140218	201402	2014	2014.1315	USA	UNITED STATES	USA								MOS	ISLAMIC				MOS					0	72	72	7	2	8.3	8	3	8	-1.11003760995979	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	1	Iraq	IZ	IZ		33.0	44.0	IZ	1	Iraq	IZ	IZ		33.0	44.0	IZ	20150218230000	http://hosted2.ap.org/APDEFAULT/89ae8247abe8493fae24405546e9a1aa/Article_2015-02-18-US--GOP%202016-Bush%20Foreign%20Policy/id-73efbb63762c409f88ee7116da2a3e66
410412394	20140218	201402	2014	2014.1315	USA	UNITED STATES	USA								MOS	ISLAMIC				MOS					0	190	190	19	4	-10.0	8	3	8	-1.11003760995979	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	1	Iraq	IZ	IZ		33.0	44.0	IZ	1	Iraq	IZ	IZ		33.0	44.0	IZ	20150218230000	http://hosted2.ap.org/APDEFAULT/89ae8247abe8493fae24405546e9a1aa/Article_2015-02-18-US--GOP%202016-Bush%20Foreign%20Policy/id-73efbb63762c409f88ee7116da2a3e66
410412395	20140218	201402	2014	2014.1315	USAGOV	OBAMA	USA					GOV			USA	UNITED STATES	USA								1	20	20	2	1	3.0	4	1	4	-2.07253886010363	2	Idaho, United States	US	USID		44.2394	-114.51	ID	2	Idaho, United States	US	USID		44.2394	-114.51	ID	2	Idaho, United States	US	USID		44.2394	-114.51	ID	20150218230000	http://www.eastidahonews.com/2015/02/obama-taps-veteran-secret-service-agent-joseph-clancy-to-lead-agency/
410412396	20140218	201402	2014	2014.1315	USAMIL	AMERICAN TROOPS	USA					MIL			IRQ	IRAQ	IRQ								0	42	42	4	1	1.9	4	3	4	-1.11003760995979	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	1	Iraq	IZ	IZ		33.0	44.0	IZ	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	20150218230000	http://hosted2.ap.org/APDEFAULT/89ae8247abe8493fae24405546e9a1aa/Article_2015-02-18-US--GOP%202016-Bush%20Foreign%20Policy/id-73efbb63762c409f88ee7116da2a3e66
410412397	20140218	201402	2014	2014.1315	USAMIL	AMERICAN TROOPS	USA					MIL			MOS	ISLAMIC				MOS					0	72	72	7	2	8.3	4	3	4	-1.11003760995979	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	1	Iraq	IZ	IZ		33.0	44.0	IZ	1	Iraq	IZ	IZ		33.0	44.0	IZ	20150218230000	http://hosted2.ap.org/APDEFAULT/89ae8247abe8493fae24405546e9a1aa/Article_2015-02-18-US--GOP%202016-Bush%20Foreign%20Policy/id-73efbb63762c409f88ee7116da2a3e66
